pmid	food-id	disease-id	association
8299665	Plant ID:4682	MESH:D001791	Positive
20546645	Plant ID:4006	MESH:D008659	Positive
20546645	Plant ID:4006	MESH:D008659	Positive
20546646	Plant ID:65948	MESH:D009369	Positive
20546646	Plant ID:65948	MESH:D009369	Positive
20550507	Plant ID:4097	MESH:D003327	Negative
20550507	Plant ID:4097	MESH:D050197	Negative
20550507	Plant ID:4097	MESH:D007511	Negative
20554789	Plant ID:4113	MESH:D029424	Negative
20568104	Plant ID:4146	MESH:D007239	Positive
20568104	Plant ID:4146	MESH:D007249	Positive
20568104	Plant ID:4146	MESH:D002908	Positive
20568104	Plant ID:4146	MESH:D002318	Positive
20568104	Plant ID:4146	MESH:D009369	Positive
22743244	Plant ID:82528	MESH:D007249	Positive
22754079	Plant ID:555479	MESH:D009369	Positive
22759215	Plant ID:3818	MESH:D004342	Negative
22764249	Plant ID:4097	MESH:D003072	Negative
18801863	Plant ID:4097	MESH:D014652	Negative
18808903	Plant ID:3888	MESH:D007842	Negative
18809486	Plant ID:244352	MESH:D003866	Positive
18812033	Plant ID:1527831	MESH:D056486	Positive
18812033	Plant ID:1527831	MESH:D056486	Positive
18813820	Plant ID:4513	MESH:D007249	Positive
18813820	Plant ID:4513	MESH:D003092	Positive
18814209	Plant ID:230593	MESH:D007249	Positive
18814262	Plant ID:4097	MESH:D006258	Negative
28835320	Plant ID:65409	MESH:D009369	Positive
28962304	Plant ID:22663	MESH:D003920	Positive
9157527	Plant ID:3483	MESH:D005767	Negative
1412630	Plant ID:4097	MESH:D006258	Negative
15325964	Plant ID:65561	MESH:D064420	Positive
21336650	Plant ID:43166	MESH:D015431	Negative
21336650	Plant ID:43166	MESH:D015431	Negative
21336650	Plant ID:43166	MESH:D009765	Positive
24407852	Plant ID:260142	MESH:D003920	Positive
24573459	Plant ID:42345	MESH:D056486	Positive
25732217	Plant ID:13443	MESH:D003072	Positive
25732217	Plant ID:13443	MESH:D003704	Positive
25732217	Plant ID:13443	MESH:D003072	Positive
25732217	Plant ID:13443	MESH:D003704	Positive
26794133	Plant ID:4097	MESH:D004194	Negative
26495006	Plant ID:3621	MESH:D020521	Positive
26498695	Plant ID:136224	MESH:D004194	Positive
26498695	Plant ID:136224	MESH:D004938	Positive
26508977	Plant ID:136217	MESH:D008659	Positive
26508977	Plant ID:136217	MESH:D008659	Positive
26508984	Plant ID:4285	MESH:D003920	Positive
26520570	Plant ID:4097	MESH:D009369	Negative
26522661	Plant ID:4682	MESH:D050197	Positive
2795767	Plant ID:4097	MESH:D006973	Negative
2795767	Plant ID:4097	MESH:D003920	Negative
2795767	Plant ID:4097	MESH:D050197	Negative
2799282	Plant ID:13443	MESH:D014456	Negative
2799282	Plant ID:13443	MESH:D004381	Negative
2810076	Plant ID:34199	MESH:D007249	Positive
2810076	Plant ID:34199	MESH:D007249	Positive
2813993	Plant ID:13443	MESH:D010190	Negative
25775227	Plant ID:22663	MESH:D003967	Positive
25775252	Plant ID:3641	MESH:D003920	Positive
25775252	Plant ID:3641	MESH:D009765	Negative
25784946	Plant ID:155022	MESH:D009369	Positive
25784946	Plant ID:155022	MESH:D003920	Positive
25784946	Plant ID:155022	MESH:D001424	Positive
536063	Plant ID:3483	MESH:D003221	Negative
24975356	Plant ID:4097	MESH:D052016	Negative
24983136	Plant ID:4097	MESH:D029424	Negative
24985101	Plant ID:72341	MESH:D005207	Positive
17139105	Plant ID:90446	MESH:D013274	Positive
17147424	Plant ID:4577	MESH:D063646	Negative
12784861	Plant ID:4682	MESH:D003920	Positive
12784861	Plant ID:4682	MESH:D002318	Positive
21082285	Plant ID:183260	MESH:D008107	Positive
21132464	Plant ID:94327	MESH:D001168	Positive
29094044	Plant ID:4043	MESH:D006949	Positive
29094044	Plant ID:20340	MESH:D006949	Positive
29094044	Plant ID:4043	MESH:D006937	Positive
29094044	Plant ID:20340	MESH:D006937	Positive
11491574	Plant ID:4682	MESH:D004194	Positive
11496637	Plant ID:4097	MESH:D001249	Negative
